author_name,rating,content
tardisj tardisj,1,"Porzucam tę apkę. Po 1,5 roku (rok 2021-2022) wciąż te same błędy: - znikające przyciski - migotanie ekranu - rysowane linie w kolorze tła Ostatnio doszedł nastepny: - wylogowanie po kilku dniach W ciągu 1,5 roku zdążyłem zmienić kilka razy telefon, a wy dalej nie naprawiliście apki. ... po roku czasu (rok 2023), zainstalowałem, i nadal te same błędy ... od kilku lat nie traktujecie użytkowników mobilnych poważnie; kolejny błąd to zostają rysowane linie trendu na wykresie"
Siup Do Pieca (hwdpnaścianach),1,Czekam 2 tydzień na aktywację
Janusz Napiórkowski,1,"""Zamykamy rachunek żeby ochronić cię przed stratami."" A za sekundy kurs szybuje w górę. Dzięki, więcej nie skorzystam."
Adam Ściężar,1,"Wyłudzają dane, konto nadal niezweryfikowane EDIT jakim opiekunem ? Od tygodnia moje konto nie zostało zweryfikowane !"
Sebastian Sekulski,5,👍🏼👍🏼
Tomasz Figiel,1,"Zmieniam ocenę z 5 na 1. Jak są ważne wydarzenia to odpalić wykres, czy żeby apka działa prawidłowo to zapomnij. I te wasze oszukańcze spready i nienaturalne szpilki. Tylko u was takie jaja"
Kuba Chudy,4,"Po aktualizacji nie widzę opcji zmiany jezyka na polski. Gdzie mogę zmienić język? W ustawieniach nie ma takowej opcji. Jezyka w telefonie nie zmieniałem, nie mam takiej potrzeby. Cały czas jest ustawiony j. Polski"
RIP_ SM,1,"Dlaczego aplikacja po miesiącu sama sprzedała jedną z otwartych pozycji przez co straciłem pieniądze!? Oszustwo, nie pozwolą zarabiać i inwestować długoterminowo"
Marcin Lewandowski,5,spk
Czako Bomba,5,Polecam :)
MatizXPompa (x.XMateoX.x),1,"Nie polecam, pomimo wielokrotnego kontaktu z obsługą i opiekunem konto po upływie ponad 3 tygodni dalej nie jest aktywne."
Piotr Piotr,1,Strata pieniędzy i czasu
Mateusz Pucek,5,polecam
